 Baylor	17	 Oklahoma State	49
 Oregon	16	 Arizona	42
 ECU	42	 North Carolina St	28
 UVA	26	 Miami (FL)	45
 Michigan State	30	 Northwestern	6
 Ga Southern	26	 Florida	20
 Hawaii	56	 Wyoming	59
 Boston College	29	 Maryland	26
 Miss St	24	 Arkansas	17
 The Citadel	6	 Clemson	52
 Tulsa	24	 LA Tech	14
 Pitt	17	 Syracuse	16
 Illinois	20	 Purdue	16
 Oklahoma	41	 Kansas State	31
 Alabama A&M	7	 Georgia Tech	66
 Colorado State	0	 Utah State	13
 Duke	28	 Wake Forest	21
 New Mexico	28	 Fresno State	69
 USC	47	 Colorado	29
 UL Monroe	14	 South Alabama	36
 Texas A&M	10	 LSU	34
 BYU	13	 Notre Dame	23
 Cincinnati	24	 Houston	17
 Boise State	31	 San Diego State	34
 Mid Tennessee	42	 Southern Miss	21
 Georgia State	33	 Arkansas State	35
 Washington	69	 Oregon State	27
 Kansas	0	 Iowa State	34
 Missouri	24	 Ole Miss	10
 Marshall	48	 FIU	10
 Indiana	14	 OSU	42
 W Kentucky	38	 Texas State	7
 Arizona State	38	 UCLA	33
 Idaho	14	 FSU	80
 UMass	0	 Cent Michigan	37
 Coastal Carolina	10	 South Carolina	70
 Chattanooga	0	 Alabama	49
 Memphis	17	 Louisville	24
 Utah	37	 Washington St	49
 Michigan	21	 Iowa	24
 Nebraska	23	 Penn State	20
 W Michigan	14	 N Illinois	33
 Ole Miss	10	 Miss St	17
 Texas Tech	16	 Texas	41
 USF	20	 UCF	23
 Oregon State	35	 Oregon	36
 E Michigan	10	 Cent Michigan	42
 UMass	23	 Ohio	51
 SMU	0	 Houston	34
 Arkansas	27	 LSU	31
 Texas State	28	 Troy	42
 Washington St	17	 Washington	27
 Miami (FL)	41	 Pitt	31
 Toledo	29	 Akron	31
 Miami (OH)	14	 Ball State	55
 Iowa	38	 Nebraska	17
 ECU	28	 Marshall	59
 Bowling Green	24	 Buffalo	7
 FIU	6	 FAU	21
 Fresno State	52	 San Jose State	62
 Alabama	28	 Auburn	34
 OSU	42	 Michigan	41
 Clemson	17	 South Carolina	31
 UL Monroe	31	 LA-Lafayette	28
 Northwestern	37	 Illinois	34
 Wake Forest	21	 Vanderbilt	23
 Arkansas State	31	 W Kentucky	34
 Temple	41	 Memphis	21
 Southern Miss	62	 UAB	27
 Maryland	41	 North Carolina St	21
 FSU	37	 Florida	7
 Baylor	41	 TCU	38
 Rutgers	17	 UConn	28
 Boston College	31	 Syracuse	34
 Kansas State	31	 Kansas	10
 Minnesota	3	 Michigan State	14
 Idaho	16	 New Mexico St	24
 Penn State	31	 Wisconsin	24
 San Diego State	19	 UNLV	45
 Army	42	 Hawaii	49
 Tulane	13	 Rice	17
 BYU	28	 Nevada	23
 Georgia	41	 Georgia Tech	34
 Iowa State	52	 West Virginia	44
 South Alabama	38	 Georgia State	17
 LA Tech	10	 UTSA	30
 Arizona	21	 Arizona State	58
 UCLA	35	 USC	14
 New Mexico	17	 Boise State	45
 Notre Dame	20	 Stanford	27
 Wyoming	7	 Utah State	35
 Air Force	13	 Colorado State	58
 VT	16	 UVA	6
 Purdue	36	 Indiana	56
 UTEP	17	 Mid Tennessee	48
 Texas A&M	21	 Missouri	28
 North Texas	42	 Tulsa	10
 Colorado	17	 Utah	24
 Tennessee	27	 Kentucky	14
 Duke	27	 UNC	25
 Louisville	31	 Cincinnati	24
 Bowling Green	47	 N Illinois	27
 LA-Lafayette	8	 South Alabama	30
 Duke	7	 FSU	45
 USF	6	 Rutgers	31
 Oklahoma	33	 Oklahoma State	24
 Utah State	17	 Fresno State	24
 Texas	10	 Baylor	30
 Stanford	38	 Arizona State	14
 OSU	24	 Michigan State	34
 UCF	17	 SMU	13
 Missouri	42	 Auburn	59
 Marshall	24	 Rice	41
 Memphis	10	 UConn	45
 Army	7	 Navy	34
 Abil Christian	37	 Georgia State	38
 Rutgers	41	 Washington St	38
 E Illinois	20	 Minnesota	42
 North Dakota	10	 San Jose State	42
 Wake Forest	10	 UL Monroe	17
 Temple	37	 Vanderbilt	7
 Texas A&M	52	 South Carolina	28
 Idaho State	14	 Utah	56
 Chattanooga	16	 Cent Michigan	20
 Cal Poly	10	 New Mexico St	28
 Weber State	14	 Arizona State	45
 Tulane	31	 Tulsa	38
 Howard	0	 Akron	41
 Boise State	13	 Ole Miss	35
 Presbyterian	3	 N Illinois	55
 UTSA	27	 Houston	7
 Bowling Green	31	 W Kentucky	59
 Jacksonville St	7	 Michigan State	45
 Villanova	26	 Syracuse	27
 UNLV	13	 Arizona	58
 BYU	35	 UConn	10
 Colorado State	31	 Colorado	17
 OSU	34	 Navy	17
 Washington	17	 Hawaii	16
 Bethune-Cookman	14	 FIU	12
 UTEP	31	 New Mexico	24
 Duquesne	28	 Buffalo	38
 Ohio	17	 Kent State	14
 Delaware	0	 Pitt	62
 North Dakota St	34	 Iowa State	14
 Boston College	30	 UMass	7
 Montana State	10	 Arkansas State	37
 Austin Peay	0	 Memphis	63
 Troy	10	 UAB	48
 Fresno State	13	 USC	52
 UC Davis	0	 Stanford	45
 Morgan State	28	 E Michigan	31
 Arkansas	21	 Auburn	45
 Montana	12	 Wyoming	17
 West Virginia	23	 Alabama	33
 SF Austin	16	 Kansas State	55
 Colgate	10	 Ball State	30
 Southern	6	 LA-Lafayette	45
 Samford	14	 TCU	48
 William & Mary	9	 VT	34
 LA Tech	16	 Oklahoma	48
 Cent Arkansas	35	 Texas Tech	42
 AR-Pine Bluff	0	 Texas State	65
 Elon	13	 Duke	52
 Nicholls State	16	 Air Force	44
 W Michigan	34	 Purdue	43
 NC Central	7	 ECU	52
 Appalachian St	14	 Michigan	52
 Northern Iowa	23	 Iowa	31
 Ga Southern	23	 North Carolina St	24
 Cal	31	 Northwestern	24
 Wisconsin	24	 LSU	28
 Clemson	21	 Georgia	45
 FAU	7	 Nebraska	55
 UNH	20	 Toledo	54
 Marshall	42	 Miami (OH)	27
 JMU	7	 Maryland	52
 Hampton	28	 Old Dominion	41
 Indiana State	10	 Indiana	28
 Rice	17	 Notre Dame	48
 UCLA	28	 UVA	20
 FSU	37	 Oklahoma State	31
 N Arizona	7	 San Diego State	38
 Southern Utah	19	 Nevada	28
 Southern Miss	0	 Miss St	49
 W Carolina	31	 USF	36
 South Dakota St	18	 Missouri	38
 North Texas	7	 Texas	38
 Savannah State	7	 Mid Tennessee	61
 Portland State	14	 Oregon State	29
 UT Martin	14	 Kentucky	59
 South Dakota	13	 Oregon	62
 Youngstown St	17	 Illinois	28
 Wofford	19	 Georgia Tech	38
 Penn State	26	 UCF	24
 Liberty	29	 UNC	56
 SMU	0	 Baylor	45
 Utah State	7	 Tennessee	38
 Miami (FL)	13	 Louisville	31
 Arizona	26	 UTSA	23
 Pitt	30	 Boston College	20
 Washington St	13	 Nevada	24
 E Michigan	0	 Florida	65
 N Illinois	23	 Northwestern	15
 Grambling St	0	 Houston	47
 Missouri	49	 Toledo	24
 Georgia Tech	38	 Tulane	21
 San Jose State	13	 Auburn	59
 Idaho State	20	 Utah State	40
 URI	7	 Marshall	48
 Colorado State	24	 Boise State	37
 Howard	25	 Rutgers	38
 The Citadel	12	 FSU	37
 VMI	7	 Bowling Green	48
 Ohio	3	 Kentucky	20
 Ball State	13	 Iowa	17
 E Kentucky	17	 Miami (OH)	10
 Northwestern St	6	 Baylor	70
 Navy	31	 Temple	24
 Missouri State	23	 Oklahoma State	40
 Air Force	13	 Wyoming	17
 Colorado	41	 UMass	38
 Cent Michigan	38	 Purdue	17
 SE Missouri St	28	 Kansas	34
 ECU	23	 South Carolina	33
 Ole Miss	41	 Vanderbilt	3
 Michigan State	27	 Oregon	46
 Texas Tech	30	 UTEP	26
 W Illinois	3	 Wisconsin	37
 Memphis	35	 UCLA	42
 Towson	0	 West Virginia	54
 Mid Tennessee	24	 Minnesota	35
 Michigan	0	 Notre Dame	31
 Campbell	0	 Appalachian St	66
 Richmond	13	 UVA	45
 Kansas State	32	 Iowa State	28
 Arizona State	58	 New Mexico	23
 Idaho	31	 UL Monroe	38
 Akron	3	 Penn State	21
 Fresno State	27	 Utah	59
 Oklahoma	52	 Tulsa	7
 Gardner-Webb	7	 Wake Forest	23
 Buffalo	39	 Army	47
 Sam Houston	0	 LSU	56
 Arkansas State	19	 Tennessee	34
 N Colorado	12	 UNLV	13
 Old Dominion	34	 North Carolina St	46
 McNeese State	24	 Nebraska	31
 Maryland	24	 USF	17
 BYU	41	 Texas	7
 S Carolina St	7	 Clemson	73
 Alcorn State	20	 Southern Miss	26
 San Diego State	27	 UNC	31
 Sacramento St	14	 Cal	55
 E Washington	52	 Washington	59
 Wagner	3	 FIU	34
 Stony Brook	16	 UConn	19
 Savannah State	9	 Ga Southern	83
 FAU	0	 Alabama	41
 South Alabama	23	 Kent State	13
 Nicholls State	7	 Arkansas	73
 LA Tech	48	 LA-Lafayette	20
 W Kentucky	34	 Illinois	42
 Lamar	3	 Texas A&M	73
 New Mexico St	34	 Georgia State	31
 UAB	34	 Miss St	47
 Florida A&M	7	 Miami (FL)	41
 VT	35	 OSU	21
 Murray State	21	 Louisville	66
 SMU	6	 North Texas	43
 USC	13	 Stanford	10
 Oregon State	38	 Hawaii	30
 Duke	34	 Troy	17
 LA Tech	42	 North Texas	21
 Houston	25	 BYU	33
 Baylor	63	 Buffalo	21
 Toledo	34	 Cincinnati	58
 Tulsa	21	 FAU	50
